"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\pages\vendor\VendorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 162, 0, 0, 0, 1, 12, 175
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\providers\AllProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\providers\QueryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\providers\StoreProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\providers\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\attributeQuery.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\brandQuery.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\categoryQuery.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\colorQuery.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\customerQuery.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\inventoryQuery.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\mechanicQuery.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\orderQuery.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\productFormQuery.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\productModelQuery.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 1, 6, 55
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\productQuery.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 1, 8, 85
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\serviceTypeQuery.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 5, 56
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\userQuery.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\queries\vendorsQuery.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\router\Router.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\router\routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 317, 0, 0, 0, 27, 7, 351
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\selectInputData\SelectInputDatas.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\mainStore.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\AppConfigSlice.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\ColorSlice.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\CustomerSlice.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 67, 15, 162
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\OrderSlice.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\store\slices\ProductSlice.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
